  x                    y
-------------------------------
 -2.00              115.620000
 -1.75               80.618828
 -1.50               54.988750
 -1.25               36.675703
 -1.00               23.920000
 -0.75               15.256328
 -0.50                9.513750
 -0.25                5.815703
  0.00                3.580000
  0.25                2.518828
  0.50                2.638750
  0.75                4.240703
  1.00                7.920000
  1.25               14.566328
  1.50               25.363750
  1.75               41.790703
  2.00               65.620000
  2.25               98.918828
  2.50              144.048750
  2.75              203.665703
